Kingdom,Species,Number,Method,Type,Host,Lamp,Wavelength,Log,Fluence,Protocol,Tailing,Antibiotic_Resistant,Reference,Action_Spectrum
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,2,32,Y,N,,Chen et al. 2009,Y
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,3,43,Y,N,,Chen et al. 2009,Y
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,4,55,Y,N,,Chen et al. 2009,Y
Bacteria,Bacillus subtilis,ATCC 6633,surface cultured,Spore,,LP,,1,18,Y,N,,Sun & Liu 2009,N
Bacteria,Bacillus subtilis,ATCC 6633,surface cultured,Spore,,LP,,2,39,Y,N,,Sun & Liu 2009,N
Bacteria,Bacillus subtilis,ATCC 6633,surface cultured,Spore,,LP,,3,61,Y,N,,Sun & Liu 2009,N
Bacteria,Bacillus subtilis,ATCC 6633,surface cultured,Spore,,LP,,4,82,Y,N,,Sun & Liu 2009,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,1,24,Y,N,,Mamane et al. 2009,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,2,37,Y,N,,Mamane et al. 2009,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,3,51,Y,N,,Mamane et al. 2009,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,4,80,Y,N,,Mamane et al. 2009,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,1,26,Y,N,,Wang et al. 2010,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,2,40,Y,N,,Wang et al. 2010,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,3,55,Y,N,,Wang et al. 2010,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,LP,,4,69,Y,N,,Wang et al. 2010,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,Excimer,222,1,13,Y,N,,Wang et al. 2010,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,Excimer,222,2,21,Y,N,,Wang et al. 2010,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,Excimer,222,3,30,Y,N,,Wang et al. 2010,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,Excimer,222,4,38,Y,N,,Wang et al. 2010,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,Excimer,172,1,435,Y,N,,Wang et al. 2010,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,Excimer,172,2,869,Y,N,,Wang et al. 2010,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,UV-LED,269,1,2,Y,N,,Würtele et al. 2010,N
